date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita
44034,Autauga County,Alabama,71518,886,21,0.01238849,0.000293632
44034,Baldwin County,Alabama,45720,2196,16,0.048031496,0.000349956
44034,Barbour County,Alabama,18395,518,4,0.028159826,0.00021745
44034,Bibb County,Alabama,155547,287,2,0.001845101,0.0000129
44034,Blount County,Alabama,13063,547,1,0.041873995,0.0000766
44034,Bullock County,Alabama,70217,407,12,0.005796317,0.000170899
44034,Butler County,Alabama,23316,701,34,0.030065191,0.001458226
44034,Calhoun County,Alabama,6694,891,6,0.133104272,0.000896325
44034,Chambers County,Alabama,63942,782,34,0.012229833,0.000531732
44034,Cherokee County,Alabama,214346,184,7,0.000858425,0.0000327
44034,Chilton County,Alabama,214346,523,5,0.00243998,0.0000233
44034,Choctaw County,Alabama,214346,246,12,0.001147677,0.000056
44034,Clarke County,Alabama,116714,407,8,0.003487157,0.0000685
44034,Clay County,Alabama,3183,137,2,0.043041156,0.000628338
44034,Cleburne County,Alabama,259424,82,1,0.000316085,0.00000385
44034,Coffee County,Alabama,42356,565,4,0.013339314,0.0000944
44034,Colbert County,Alabama,42356,816,10,0.019265275,0.000236094
44034,Conecuh County,Alabama,124053,304,9,0.002450565,0.0000725
44034,Coosa County,Alabama,17212,77,1,0.004473623,0.0000581
44034,Covington County,Alabama,17212,624,18,0.036253776,0.001045782
44034,Crenshaw County,Alabama,12630,210,3,0.016627078,0.00023753
44034,Cullman County,Alabama,23439,879,7,0.0375016,0.000298648
44034,Dale County,Alabama,16633,572,8,0.034389467,0.000480972
44034,Dallas County,Alabama,16633,1205,16,0.072446342,0.000961943
44034,DeKalb County,Alabama,691893,1377,8,0.001990192,0.0000116
44034,Elmore County,Alabama,20166,1353,33,0.067093127,0.001636418
44034,Escambia County,Alabama,22598,728,15,0.03221524,0.000663776
44034,Etowah County,Alabama,22598,1471,15,0.065094256,0.000663776
44034,Fayette County,Alabama,106567,129,5,0.001210506,0.0000469
44034,Franklin County,Alabama,22084,1050,17,0.047545734,0.000769788
44034,Geneva County,Alabama,920581,161,1,0.00017489,0.00000109
44034,Greene County,Alabama,15994,225,10,0.014067775,0.000625234
44034,Hale County,Alabama,43041,408,22,0.009479334,0.000511141
44034,Henry County,Alabama,203922,208,4,0.001019998,0.0000196
44034,Houston County,Alabama,139900,968,10,0.006919228,0.0000715
44034,Jackson County,Alabama,60485,604,4,0.009985947,0.0000661
44034,Jefferson County,Alabama,16930,9400,192,0.555227407,0.011340815
44034,Lamar County,Alabama,18317,147,1,0.008025332,0.0000546
44034,Lauderdale County,Alabama,10078,818,9,0.081166898,0.000893034
44034,Lawrence County,Alabama,48434,214,0,0.004418384,0
44034,Lee County,Alabama,28298,2202,39,0.077814687,0.001378189
44034,Limestone County,Alabama,63453,940,8,0.014814114,0.000126078
44034,Lowndes County,Alabama,109233,532,26,0.004870323,0.000238023
44034,Macon County,Alabama,14740,276,12,0.018724559,0.000814111
44034,Madison County,Alabama,28120,3792,20,0.13485064,0.000711238
44034,Marengo County,Alabama,28120,440,11,0.015647226,0.000391181
44034,Marion County,Alabama,8742,453,21,0.051818806,0.002402196
44034,Marshall County,Alabama,8742,2494,21,0.285289407,0.002402196
44034,Mobile County,Alabama,23498,6473,174,0.275470253,0.007404886
44034,Monroe County,Alabama,26424,359,4,0.013586134,0.000151378
44034,Montgomery County,Alabama,9123,5397,130,0.591581717,0.014249699
44034,Morgan County,Alabama,17868,1808,11,0.101186479,0.000615626
44034,Perry County,Alabama,22350,362,3,0.016196868,0.000134228
44034,Pickens County,Alabama,16729,315,9,0.018829577,0.000537988
44034,Pike County,Alabama,16430,570,6,0.034692635,0.000365186
44034,Randolph County,Alabama,25414,347,11,0.013653892,0.000432832
44034,Russell County,Alabama,17457,984,1,0.056367073,0.0000573
44034,Shelby County,Alabama,25448,2482,28,0.097532223,0.001100283
44034,St. Clair County,Alabama,8490,928,5,0.109305065,0.000588928
44034,Sumter County,Alabama,1490,326,13,0.218791946,0.008724832
44034,Talladega County,Alabama,7854,705,9,0.089763178,0.001145913
44034,Tallapoosa County,Alabama,7854,751,75,0.095620066,0.009549274
44034,Tuscaloosa County,Alabama,7141,3308,59,0.463240443,0.008262148
44034,Walker County,Alabama,24254,1290,54,0.053187103,0.002226437
44034,Washington County,Alabama,24254,238,9,0.009812814,0.000371073
44034,Wilcox County,Alabama,24496,369,9,0.015063684,0.000367407
44034,Winston County,Alabama,7208,365,9,0.05063818,0.001248613
44034,Aleutians East Borough County,Alaska,#N/A,3,0,#N/A,#N/A
44034,Aleutians West Census Area County,Alaska,#N/A,85,0,#N/A,#N/A
44034,Anchorage County,Alaska,#N/A,1176,9,#N/A,#N/A
44034,Bethel Census Area County,Alaska,19286,19,0,0.000985171,0
44034,Bristol Bay Borough County,Alaska,18411,63,0,0.003421867,0
44034,Denali Borough County,Alaska,691893,3,0,0.00000434,0
44034,Dillingham Census Area County,Alaska,691893,21,0,0.0000304,0
44034,Fairbanks North Star Borough County,Alaska,11000,362,3,0.032909091,0.000272727
44034,Haines Borough County,Alaska,43041,7,0,0.000162636,0
44034,Juneau City and Borough County,Alaska,28669,109,2,0.003802016,0.0000698
44034,Kenai Peninsula Borough County,Alaska,28669,282,1,0.009836409,0.0000349
44034,Ketchikan Gateway Borough County,Alaska,28669,39,0,0.001360354,0
44034,Kodiak Island Borough County,Alaska,28669,14,0,0.000488332,0
44034,Kusilvak Census Area County,Alaska,28669,3,0,0.000104643,0
44034,Lake and Peninsula Borough County,Alaska,28669,5,0,0.000174404,0
44034,Matanuska-Susitna Borough County,Alaska,8742,209,2,0.023907573,0.000228781
44034,Nome Census Area County,Alaska,99958,19,0,0.00019008,0
44034,North Slope Borough County,Alaska,99958,9,0,0.00009,0
44034,Northwest Arctic Borough County,Alaska,99958,9,0,0.00009,0
44034,Petersburg Borough County,Alaska,22350,9,0,0.000402685,0
44034,Prince of Wales-Hyder Census Area County,Alaska,4470,3,0,0.000671141,0
44034,Sitka City and Borough County,Alaska,3034,27,0,0.008899143,0
44034,Southeast Fairbanks Census Area County,Alaska,8490,24,0,0.002826855,0
44034,Unknown County,Alaska,9208,8,0,0.00086881,0
44034,Valdez-Cordova Census Area County,Alaska,24254,69,0,0.002844892,0
44034,Wrangell City and Borough County,Alaska,7208,8,0,0.001109878,0
44034,Yukon-Koyukuk Census Area County,Alaska,7208,32,0,0.004439512,0
44034,Apache County,Arizona,71518,2797,115,0.039109035,0.001607987
44034,Cochise County,Arizona,688078,1296,29,0.001883507,0.0000421
44034,Coconino County,Arizona,688078,2736,107,0.003976293,0.000155506
44034,Gila County,Arizona,920581,600,20,0.000651762,0.0000217
44034,Graham County,Arizona,25011,314,5,0.012554476,0.000199912
44034,Greenlee County,Arizona,15994,39,1,0.002438414,0.0000625
44034,La Paz County,Arizona,28669,445,9,0.015521992,0.000313928
44034,Maricopa County,Arizona,28120,100543,1599,3.575497866,0.056863442
44034,Mohave County,Arizona,23498,2500,123,0.106392033,0.005234488
44034,Navajo County,Arizona,189885,4898,163,0.02579456,0.000858414
44034,Pima County,Arizona,16430,13990,392,0.851491175,0.023858795
44034,Pinal County,Arizona,16430,6910,113,0.420572124,0.006877663
44034,Santa Cruz County,Arizona,6131,2401,45,0.391616376,0.007339749
44034,Yavapai County,Arizona,7208,1472,49,0.204217536,0.006798002
44034,Yuma County,Arizona,7208,9718,206,1.348224195,0.028579356
44034,Arkansas County,Arkansas,71518,146,1,0.002041444,0.000014
44034,Ashley County,Arkansas,71518,142,4,0.001985514,0.0000559
44034,Baxter County,Arkansas,100157,48,0,0.000479248,0
44034,Benton County,Arkansas,17634,3985,29,0.225983895,0.00164455
44034,Boone County,Arkansas,13063,83,1,0.006353824,0.0000766
44034,Bradley County,Arkansas,13063,104,2,0.007961418,0.000153104
44034,Calhoun County,Arkansas,6694,8,0,0.0011951,0
44034,Carroll County,Arkansas,110527,294,6,0.002659984,0.0000543
44034,Chicot County,Arkansas,214346,266,3,0.001240984,0.000014
44034,Clark County,Arkansas,214346,107,0,0.000499193,0
44034,Clay County,Arkansas,3183,94,4,0.029531888,0.001256676
44034,Cleburne County,Arkansas,259424,160,5,0.000616751,0.0000193
44034,Cleveland County,Arkansas,259424,49,0,0.00018888,0
44034,Columbia County,Arkansas,124053,147,5,0.001184977,0.0000403
44034,Conway County,Arkansas,124053,117,3,0.000943145,0.0000242
44034,Craighead County,Arkansas,127317,828,8,0.006503452,0.0000628
44034,Crawford County,Arkansas,12630,379,3,0.030007918,0.00023753
44034,Crittenden County,Arkansas,23439,994,15,0.042407953,0.000639959
44034,Cross County,Arkansas,23439,124,1,0.005290328,0.0000427
44034,Dallas County,Arkansas,16633,22,0,0.001322672,0
44034,Desha County,Arkansas,691893,117,1,0.000169101,0.00000145
44034,Drew County,Arkansas,132403,117,2,0.000883666,0.0000151
44034,Faulkner County,Arkansas,23682,970,4,0.040959378,0.000168905
44034,Franklin County,Arkansas,22084,60,1,0.002716899,0.0000453
44034,Fulton County,Arkansas,920581,21,0,0.0000228,0
44034,Garland County,Arkansas,920581,549,5,0.000596363,0.00000543
44034,Grant County,Arkansas,25011,94,0,0.003758346,0
44034,Greene County,Arkansas,15994,191,0,0.011941978,0
44034,Hempstead County,Arkansas,11834,145,2,0.012252831,0.000169005
44034,Hot Spring County,Arkansas,203922,1367,2,0.006703544,0.00000981
44034,Howard County,Arkansas,139900,209,1,0.001493924,0.00000715
44034,Independence County,Arkansas,139900,126,0,0.000900643,0
